Accident_year,Country,Urban/Rural,Speed_limit,Weather_condition,Road_surface,All_Accidents
2015,England,Urban,NaN,Fine no high winds,Dry,1
2015,England,Urban,1-20 mph,NaN,Dry,77
2015,England,Urban,1-20 mph,NaN,Wet or damp,16
2015,England,Urban,1-20 mph,NaN,Frost or ice,1
2015,England,Urban,1-20 mph,Fine no high winds,NaN,1
2015,England,Urban,1-20 mph,Fine no high winds,Dry,2889
2015,England,Urban,1-20 mph,Fine no high winds,Wet or damp,323
2015,England,Urban,1-20 mph,Fine no high winds,Snow,1
2015,England,Urban,1-20 mph,Fine no high winds,Frost or ice,9
2015,England,Urban,1-20 mph,Raining no high winds,Dry,2
2015,England,Urban,1-20 mph,Raining no high winds,Wet or damp,379
2015,England,Urban,1-20 mph,Snowing no high winds,Wet or damp,2
2015,England,Urban,1-20 mph,Snowing no high winds,Snow,2
2015,England,Urban,1-20 mph,Fine + high winds,Dry,38
2015,England,Urban,1-20 mph,Fine + high winds,Wet or damp,23
2015,England,Urban,1-20 mph,Raining + high winds,Wet or damp,48
2015,England,Urban,1-20 mph,Fog or mist,Wet or damp,6
2015,England,Urban,1-20 mph,Other,Dry,14
2015,England,Urban,1-20 mph,Other,Wet or damp,21
2015,England,Urban,21-30 mph,NaN,NaN,96
2015,England,Urban,21-30 mph,NaN,Dry,1232
2015,England,Urban,21-30 mph,NaN,Wet or damp,203
2015,England,Urban,21-30 mph,NaN,Snow,2
2015,England,Urban,21-30 mph,NaN,Frost or ice,6
2015,England,Urban,21-30 mph,NaN,Flood over 3cm. deep,1
2015,England,Urban,21-30 mph,NaN,Oil or diesel,1
2015,England,Urban,21-30 mph,Fine no high winds,NaN,61
2015,England,Urban,21-30 mph,Fine no high winds,Dry,53520
2015,England,Urban,21-30 mph,Fine no high winds,Wet or damp,6499
2015,England,Urban,21-30 mph,Fine no high winds,Snow,29
2015,England,Urban,21-30 mph,Fine no high winds,Frost or ice,238
2015,England,Urban,21-30 mph,Fine no high winds,Flood over 3cm. deep,5
2015,England,Urban,21-30 mph,Raining no high winds,NaN,1
2015,England,Urban,21-30 mph,Raining no high winds,Dry,48
2015,England,Urban,21-30 mph,Raining no high winds,Wet or damp,7065
2015,England,Urban,21-30 mph,Raining no high winds,Snow,2
2015,England,Urban,21-30 mph,Raining no high winds,Frost or ice,15
2015,England,Urban,21-30 mph,Raining no high winds,Flood over 3cm. deep,5
2015,England,Urban,21-30 mph,Snowing no high winds,Dry,2
2015,England,Urban,21-30 mph,Snowing no high winds,Wet or damp,51
2015,England,Urban,21-30 mph,Snowing no high winds,Snow,74
2015,England,Urban,21-30 mph,Snowing no high winds,Frost or ice,18
2015,England,Urban,21-30 mph,Fine + high winds,NaN,3
2015,England,Urban,21-30 mph,Fine + high winds,Dry,614
2015,England,Urban,21-30 mph,Fine + high winds,Wet or damp,362
2015,England,Urban,21-30 mph,Fine + high winds,Frost or ice,3
2015,England,Urban,21-30 mph,Raining + high winds,NaN,2
2015,England,Urban,21-30 mph,Raining + high winds,Dry,6
2015,England,Urban,21-30 mph,Raining + high winds,Wet or damp,789
2015,England,Urban,21-30 mph,Raining + high winds,Snow,1
2015,England,Urban,21-30 mph,Raining + high winds,Frost or ice,3
2015,England,Urban,21-30 mph,Raining + high winds,Flood over 3cm. deep,13
2015,England,Urban,21-30 mph,Snowing + high winds,Wet or damp,8
2015,England,Urban,21-30 mph,Snowing + high winds,Snow,15
2015,England,Urban,21-30 mph,Snowing + high winds,Frost or ice,6
2015,England,Urban,21-30 mph,Fog or mist,NaN,1
2015,England,Urban,21-30 mph,Fog or mist,Dry,53
2015,England,Urban,21-30 mph,Fog or mist,Wet or damp,142
2015,England,Urban,21-30 mph,Fog or mist,Frost or ice,7
2015,England,Urban,21-30 mph,Fog or mist,Flood over 3cm. deep,1
2015,England,Urban,21-30 mph,Other,NaN,11
2015,England,Urban,21-30 mph,Other,Dry,280
2015,England,Urban,21-30 mph,Other,Wet or damp,587
2015,England,Urban,21-30 mph,Other,Snow,3
2015,England,Urban,21-30 mph,Other,Frost or ice,74
2015,England,Urban,21-30 mph,Other,Oil or diesel,1
2015,England,Urban,31-40 mph,NaN,NaN,6
2015,England,Urban,31-40 mph,NaN,Dry,95
2015,England,Urban,31-40 mph,NaN,Wet or damp,14
2015,England,Urban,31-40 mph,NaN,Frost or ice,1
2015,England,Urban,31-40 mph,Fine no high winds,NaN,3
2015,England,Urban,31-40 mph,Fine no high winds,Dry,4214
2015,England,Urban,31-40 mph,Fine no high winds,Wet or damp,625
2015,England,Urban,31-40 mph,Fine no high winds,Snow,1
2015,England,Urban,31-40 mph,Fine no high winds,Frost or ice,18
2015,England,Urban,31-40 mph,Raining no high winds,Dry,2
2015,England,Urban,31-40 mph,Raining no high winds,Wet or damp,648
2015,England,Urban,31-40 mph,Raining no high winds,Snow,1
2015,England,Urban,31-40 mph,Raining no high winds,Flood over 3cm. deep,1
2015,England,Urban,31-40 mph,Snowing no high winds,Wet or damp,11
2015,England,Urban,31-40 mph,Snowing no high winds,Snow,5
2015,England,Urban,31-40 mph,Snowing no high winds,Frost or ice,1
2015,England,Urban,31-40 mph,Fine + high winds,Dry,54
2015,England,Urban,31-40 mph,Fine + high winds,Wet or damp,38
2015,England,Urban,31-40 mph,Fine + high winds,Frost or ice,1
2015,England,Urban,31-40 mph,Raining + high winds,Dry,3
2015,England,Urban,31-40 mph,Raining + high winds,Wet or damp,73
2015,England,Urban,31-40 mph,Raining + high winds,Flood over 3cm. deep,1
2015,England,Urban,31-40 mph,Snowing + high winds,Wet or damp,2
2015,England,Urban,31-40 mph,Snowing + high winds,Snow,2
2015,England,Urban,31-40 mph,Fog or mist,Dry,4
2015,England,Urban,31-40 mph,Fog or mist,Wet or damp,11
2015,England,Urban,31-40 mph,Fog or mist,Frost or ice,1
2015,England,Urban,31-40 mph,Other,Dry,16
2015,England,Urban,31-40 mph,Other,Wet or damp,64
2015,England,Urban,31-40 mph,Other,Frost or ice,4
2015,England,Urban,41-50 mph,NaN,NaN,1
2015,England,Urban,41-50 mph,NaN,Dry,13
2015,England,Urban,41-50 mph,NaN,Wet or damp,3
2015,England,Urban,41-50 mph,Fine no high winds,NaN,1
2015,England,Urban,41-50 mph,Fine no high winds,Dry,841
2015,England,Urban,41-50 mph,Fine no high winds,Wet or damp,110
2015,England,Urban,41-50 mph,Fine no high winds,Frost or ice,6
2015,England,Urban,41-50 mph,Raining no high winds,Wet or damp,117
2015,England,Urban,41-50 mph,Snowing no high winds,Wet or damp,1
2015,England,Urban,41-50 mph,Snowing no high winds,Snow,1
2015,England,Urban,41-50 mph,Fine + high winds,Dry,14
2015,England,Urban,41-50 mph,Fine + high winds,Wet or damp,3
2015,England,Urban,41-50 mph,Raining + high winds,Wet or damp,18
